DepMap_ID,stripped_cell_line_name,CCLE_Name,alias,COSMIC_ID,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,sample_collection_site,primary_or_metastasis,disease,disease_subtype,age,Sanger_model_ID,additional_info
ACH-000018,T24,T24_URINARY_TRACT,,724812.0,urinary_tract,bladder_carcinoma,,,Female,ATCC,2.0,-2.9456912219999998,Adherent,McCoy 5A: 90.0%,34.8,CVCL_0554,urinary_tract,Primary,Bladder Cancer,Carcinoma,81.0,SIDM01184,
ACH-000019,MCF7,MCF7_BREAST,,905946.0,breast,breast_carcinoma,ERpos_HER2neg,luminal,Female,ATCC,2.0,-2.4936754519999997,Adherent,EMEM 10% FBS ;.01mg/ml Bovine Insulin,35,CVCL_0031,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,69.0,SIDM00148,
ACH-000020,MHHCALL2,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908132.0,blood,ALL,b_cell,,Female,DSMZ,,,,,,CVCL_1409,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",15.0,SIDM00331,
ACH-000021,NCIH1693,NCIH1693_LUNG,,687802.0,lung,NSCLC,NSCLC_adenocarcinoma,,Female,ATCC,4.0,-3.615050928,Adherent,RPMI; 10% FBS,14.1,CVCL_1488,lymph_node,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",55.0,SIDM00742,
ACH-000022,PATU8988S,PATU8988S_PANCREAS,,,pancreas,exocrine,exocrine_adenocarcinoma,,Female,DSMZ,2.0,-4.872597074,Adherent,"DMEM: 90.0%;10%FBS, 2mMGlutamax",6.3,CVCL_1846,liver,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",64.0,SIDM00452,
ACH-000023,PATU8988T,PATU8988T_PANCREAS,,1240201.0,pancreas,exocrine,exocrine_adenocarcinoma,,Female,DSMZ,,,,,,CVCL_1847,liver,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",64.0,SIDM00453,
ACH-000024,OPM2,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909249.0,plasma_cell,multiple_myeloma,,,Female,DSMZ,2.0,-3.992180718,Suspension,RPMI-1640; 10%FBS,28.1,CVCL_1625,haematopoietic_and_lymphoid_tissue,Primary,Myeloma,Multiple Myeloma,56.0,SIDM00457,
ACH-000025,CH157MN,CH157MN_CENTRAL_NERVOUS_SYSTEM,,,central_nervous_system,meningioma,,,Female,Academic lab,2.0,-4.186946841,Semi-adherent,DMEM; 10% FBS,7.2,CVCL_5723,central_nervous_system,,Brain Cancer,Meningioma,,,
ACH-000026,253JBV,253JBV_URINARY_TRACT,,,urinary_tract,bladder_carcinoma,,,Male,KCLB,0.0,-1.6854705369999998,,,,CVCL_7937,lymph_node,Metastasis,Bladder Cancer,Carcinoma,53.0,,
ACH-000027,GOS3,GOS3_CENTRAL_NERVOUS_SYSTEM,,,central_nervous_system,glioma,glioblastoma,,Male,DSMZ,,,,,,CVCL_2050,central_nervous_system,Primary,Brain Cancer,Glioblastoma,55.0,,
ACH-000028,KPL1,KPL1_BREAST,,,breast,breast_carcinoma,ERpos_HER2neg,luminal,Female,DSMZ,3.0,-3.414654755,Adherent,DMEM;10% FBS;,30.4,CVCL_2094,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,50.0,SIDM00147,
ACH-000029,HCC827GR5,HCC827GR5_LUNG,HCC827 GR5,,lung,NSCLC,NSCLC_adenocarcinoma,,Female,Academic lab,2.0,-4.519949188,Adherent,RPMI; 5% FBS,50.9,CVCL_V622,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",39.0,,
ACH-000030,PC14,PC14_LUNG,,753608.0,lung,NSCLC,NSCLC_adenocarcinoma,,Male,RIKEN,3.0,-5.4159866910000005,Adherent,RPMI; 10% FBS,8.4,CVCL_1640,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,SIDM00237,
ACH-000031,PANC0213,PANC0213_PANCREAS,,,pancreas,exocrine,exocrine_adenocarcinoma,,Female,ATCC,,,,,,CVCL_1634,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",64.0,,
ACH-000032,MHHCALL3,MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,blood,ALL,b_cell,,Female,DSMZ,,,,,,CVCL_0089,bone_marrow,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",11.0,,
ACH-000033,NCIH1819,NCIH1819_LUNG,,,lung,NSCLC,NSCLC_adenocarcinoma,,Female,Academic lab,,,,,,CVCL_1497,lymph_node,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,,
ACH-000034,PLB985,PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,"PLB985, PLB-985",,blood,AML,,,Female,Academic lab,,,,,,CVCL_2162,haematopoietic_and_lymphoid_tissue,,Leukemia,Acute Myelogenous Leukemia (AML),,SIDM00811,
ACH-000035,NCIH1650,NCIH1650_LUNG,,687800.0,lung,NSCLC,NSCLC_adenocarcinoma,,Male,ATCC,2.0,-3.02329575,Adherent,RPMI; 10% FBS,8.5,CVCL_1483,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",27.0,SIDM00745,
ACH-000036,U343,U343_CENTRAL_NERVOUS_SYSTEM,,,central_nervous_system,glioma,glioblastoma,,Unknown,Academic lab,2.0,-3.536064024,Adherent,DMEM; 10% FBS,17.8,CVCL_4773,central_nervous_system,,Brain Cancer,Glioblastoma,64.0,,
ACH-000037,S117,S117_THYROID,,,soft_tissue,thyroid_sarcoma,,,Female,DSMZ,2.0,-4.075906648,Adherent,RPMI; 10% FBS,23.6,CVCL_1674,soft_tissue,,Sarcoma,Thyroid Sarcoma,47.0,SIDM00035,
ACH-000038,EHEB,EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906854.0,lymphocyte,lymphoma_unspecified,b_cell,,Female,DSMZ,,,,,,CVCL_1194,haematopoietic_and_lymphoid_tissue,,Lymphoma,B-cell,69.0,SIDM01049,
ACH-000039,SKNMC,SKNMC_BONE,,,bone,Ewing_sarcoma,,EWS_FLI,Female,ATCC,3.0,-2.533280678,Adherent,EMEM: 10%FBS,34.7,CVCL_0530,bone,Metastasis,Bone Cancer,Ewings Sarcoma,14.0,SIDM00634,
ACH-000040,U118MG,U118MG_CENTRAL_NERVOUS_SYSTEM,,687588.0,central_nervous_system,glioma,astrocytoma,,Male,ATCC,2.0,-3.785502016,Adherent,DMEM; 10% FBS,30.9,CVCL_0633,central_nervous_system,Primary,Brain Cancer,Astrocytoma,,SIDM01193,
ACH-000041,RDES,RDES_BONE,,,bone,Ewing_sarcoma,,EWS_FLI,Male,ATCC,2.0,-2.7316373360000004,Semi-Adherent,RPMI; 15% FBS,11.7,CVCL_2169,bone,Primary,Bone Cancer,Ewings Sarcoma,19.0,,
ACH-000042,PANC0203,PANC0203_PANCREAS,,1298475.0,pancreas,exocrine,exocrine_adenocarcinoma,,Female,ATCC,4.0,-3.349189858,Adherent,"RPMI-1640,10%FBS, 1mM sodium pyruvate",11.1,CVCL_1633,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",70.0,SIDM01139,
ACH-000043,HS895T,HS895T_FIBROBLAST,,,fibroblast,fibroblast_skin,,,Female,ATCC,,,,,,CVCL_0993,fibroblast,Metastasis,Fibroblast,Skin,48.0,,
ACH-000044,MDAMB134VI,MDAMB134VI_BREAST,,,breast,breast_ductal_carcinoma,ERpos_HER2neg,luminal,Female,ATCC,,,,,,CVCL_0617,pleural_effusion,Metastasis,Breast Cancer,Breast Ductal Carcinoma,47.0,SIDM00005,
ACH-000045,MV411,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV-4-11,908156.0,blood,AML,,,Male,ATCC,2.0,-2.880622685,Suspension,IMDM; 10% FBS,11,CVCL_0064,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,Acute Myelogenous Leukemia (AML),10.0,SIDM00657,
ACH-000046,ACHN,ACHN_KIDNEY,,905950.0,kidney,renal_cell_carcinoma,,,Male,ATCC,,,,,,CVCL_1067,pleural_effusion,Metastasis,Kidney Cancer,Renal Cell Carcinoma,22.0,SIDM00123,
ACH-000047,GCIY,GCIY_STOMACH,,906869.0,gastric,gastric_adenocarcinoma,,,Female,RIKEN,2.0,-5.023425823,Adherent,MEM; 15% FBS,10.4,CVCL_1228,ascites,Metastasis,Gastric Cancer,Adenocarcinoma,,SIDM00274,
ACH-000048,TOV112D,TOV112D_OVARY,,1299070.0,ovary,ovary_adenocarcinoma,endometrioid,,Female,ATCC,2.0,-3.0907941269999997,Adherent,MCDB 105:Medium 199 (1:1); 15% FBS; 1.5g/L NaHCO3,52.4,CVCL_3612,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, endometrioid",42.0,SIDM01170,
ACH-000049,HEKTE,HEKTE_KIDNEY,,,engineered_kidney,,,,Unknown,Academic lab,,,,,,CVCL_WS59,kidney,,Engineered,,,,
ACH-000050,NCIH929,NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,724825.0,plasma_cell,multiple_myeloma,plasmacytoma,,Female,ATCC,,,,,,CVCL_1600,pleural_effusion,Metastasis,Myeloma,"Multiple Myeloma, plasmacytoma",62.0,SIDM01148,
ACH-000051,TE617T,TE617T_SOFT_TISSUE,,,soft_tissue,rhabdomyosarcoma,,,Female,ATCC,,,,,,CVCL_1755,soft_tissue,Primary,Sarcoma,Rhabdomyosarcoma,1.67,,
ACH-000052,A673,A673_BONE,,684052.0,bone,Ewing_sarcoma,,EWS_FLI,Female,ATCC,2.0,-2.945665017,Adherent,DMEM; 10% FBS,32.8,CVCL_0080,soft_tissue,Primary,Bone Cancer,Ewings Sarcoma,15.0,SIDM00848,
ACH-000053,KARPAS299,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907273.0,lymphocyte,non_hodgkin_lymphoma,t_cell_ALCL,,Male,Academic lab,3.0,-5.376117129,Suspension,RPMI 1640 + 2mM Glutamine + 20% FBS,44.5,CVCL_1324,haematopoietic_and_lymphoid_tissue,,Lymphoma,"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",25.0,SIDM01010,
ACH-000054,HT1080,HT1080_SOFT_TISSUE,,907064.0,soft_tissue,fibrosarcoma,,,Male,ATCC,2.0,-3.87193508,Adherent,EMEM; 10.0% FBS,14.1,CVCL_0317,soft_tissue,Metastasis,Sarcoma,Fibrosarcoma,35.0,SIDM00828,
ACH-000055,D283MED,D283MED_CENTRAL_NERVOUS_SYSTEM,D283,906834.0,central_nervous_system,medulloblastoma,med_group_3,MYC_exp,Male,ATCC,3.0,-3.772760017,Semi-Adherent,E10,30.7,CVCL_1155,abdomen,Metastasis,Brain Cancer,Medulloblastoma,6.0,SIDM00888,
ACH-000056,DOHH2,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906842.0,lymphocyte,non_hodgkin_lymphoma,DLBCL,,Male,DSMZ,,,,,,CVCL_1179,pleural_effusion,Metastasis,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),60.0,SIDM00981,
ACH-000057,OPM1,OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,plasma_cell,multiple_myeloma,,,Female,Academic lab,,,,,,CVCL_5210,haematopoietic_and_lymphoid_tissue,,Myeloma,Multiple Myeloma,,SIDM00456,
ACH-000058,ML1,ML1_THYROID,,1240178.0,thyroid,thyroid_carcinoma,follicular,,Unknown,DSMZ,,,,,,CVCL_H525,thyroid,,Thyroid Cancer,"Carcinoma, follicular",,SIDM00442,
ACH-000059,SUPB15,SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1247871.0,blood,ALL,b_cell,,Male,ATCC,,,,,,CVCL_0103,bone_marrow,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",9.0,SIDM01176,
ACH-000060,PANC1005,PANC1005_PANCREAS,,925348.0,pancreas,exocrine,exocrine_adenocarcinoma,,Male,ATCC,2.0,-3.4226334210000005,Adherent,RPMI; 15% FBS; 2mM Glutamine; 1.5 g/L Sodium bicarbonate; 4.5g/L glucose; 10mM HEPES; 1mM Sodium Pyruvate; 10 units/mL Insulin,6.8,CVCL_1639,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",56.0,SIDM01135,
ACH-000061,HH,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907056.0,lymphocyte,non_hodgkin_lymphoma,t_cell_cutaneous,,Male,ATCC,,,,,,CVCL_1280,haematopoietic_and_lymphoid_tissue,,Lymphoma,"T-cell, Non-Hodgkins, Cutaneous",61.0,SIDM00671,
ACH-000062,RERFLCMS,RERFLCMS_LUNG,,910931.0,lung,NSCLC,NSCLC_adenocarcinoma,,Male,JCRB,,,,,,CVCL_1655,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,SIDM00355,
ACH-000063,HS616T,HS616T_FIBROBLAST,,,fibroblast,fibroblast_lymphocyte,,,Male,,,,,,,CVCL_0825,fibroblast,,Fibroblast,Lymphoma,16.0,,
ACH-000064,SALE,SALE_LUNG,,,engineered_lung,,,,Unknown,Academic lab,,,,,,CVCL_WS60,lung,,Engineered,,,,
ACH-000065,OCIAML5,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330983.0,blood,AML,,,Male,DSMZ,,,,,,CVCL_1620,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,Acute Myelogenous Leukemia (AML),77.0,SIDM00461,
ACH-000066,HCC4006,HCC4006_LUNG,,,lung,NSCLC,NSCLC_adenocarcinoma,,Male,ATCC,,,,,,CVCL_1269,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,,
ACH-000067,HS683,HS683_CENTRAL_NERVOUS_SYSTEM,,1240150.0,central_nervous_system,glioma,oligodendroglioma,,Male,ATCC,2.0,-3.6649597089999997,Adherent,DMEM; 10% FBS,39.3,CVCL_0844,central_nervous_system,Primary,Brain Cancer,Oligodendroglioma,76.0,SIDM00666,
ACH-000068,REC1,REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,lymphocyte,non_hodgkin_lymphoma,b_cell_mantle_cell,,Male,DSMZ,,,,,,CVCL_1884,lymph_node,,Lymphoma,"B-cell, Non-Hodgkins, Mantle Cell",61.0,,
ACH-000069,HS611T,HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,lymphocyte,hodgkin_lymphoma,,,Female,ATCC,,,,,,CVCL_0823,haematopoietic_and_lymphoid_tissue,,Lymphoma,"B-cell, Hodgkins",48.0,,
ACH-000070,697,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906800.0,blood,ALL,b_cell,,Male,DSMZ,2.0,-3.463143117,Suspension,RPMI; 20% heat inactive FBS,48,CVCL_0079,bone_marrow,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",12.0,SIDM01076,
ACH-000071,HS706T,HS706T_BONE,,,fibroblast,fibroblast_bone,,,Female,ATCC,,,,,,CVCL_0863,fibroblast,,Fibroblast,Bone,16.0,,
ACH-000072,MEG01,MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908126.0,blood,CML,,,Male,ATCC,,,,,,CVCL_0425,bone_marrow,,Leukemia,Chronic Myelogenous Leukemia (CML),55.0,SIDM00526,
ACH-000073,GRANTA519,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1303897.0,lymphocyte,non_hodgkin_lymphoma,b_cell_mantle_cell,,Female,DSMZ,,,,,,CVCL_1818,haematopoietic_and_lymphoid_tissue,Primary,Lymphoma,"B-cell, Non-Hodgkins, Mantle Cell",58.0,SIDM01058,
ACH-000074,KU812,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907311.0,blood,CML,blast_crisis,,Male,ATCC,2.0,-3.2876025230000003,,,27.7,CVCL_0379,haematopoietic_and_lymphoid_tissue,,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",38.0,SIDM00308,
ACH-000075,U87MG,U87MG_CENTRAL_NERVOUS_SYSTEM,,687590.0,central_nervous_system,glioma,astrocytoma,,Unknown,ATCC,2.0,-2.31895816,Adherent,EMEM; 10% FBS,37.9,CVCL_0022,central_nervous_system,Primary,Brain Cancer,Astrocytoma,44.0,SIDM01189,
ACH-000076,NCO2,NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,blood,CML,,,Female,HSRRB,2.0,-3.933579675,Suspension,RPMI-1640: 90.0%,45,CVCL_3043,haematopoietic_and_lymphoid_tissue,,Leukemia,Chronic Myelogenous Leukemia (CML),35.0,,
ACH-000077,MJ,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,lymphocyte,non_hodgkin_lymphoma,t_cell_cutaneous,,Male,ATCC,,,,,,CVCL_1414,haematopoietic_and_lymphoid_tissue,,Lymphoma,"T-cell, Non-Hodgkins, Cutaneous",50.0,,
ACH-000078,MHHNB11,MHHNB11_AUTONOMIC_GANGLIA,,908135.0,peripheral_nervous_system,neuroblastoma,,MYCN_amp,Male,DSMZ,3.0,-2.1885539880000002,Semi-Adherent,RPMI-1640: 10%FBS,39.7,CVCL_1412,autonomic_ganglia,Metastasis,Neuroblastoma,,4.0,SIDM00387,
ACH-000079,TE125T,TE125T_FIBROBLAST,,,fibroblast,fibroblast_soft_tissue,,,Female,ATCC,,,,,,CVCL_1740,fibroblast,,Fibroblast,Soft tissue,1.0,,
ACH-000080,BDCM,BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,blood,AML,M5,,Male,ATCC,0.0,-1.097521055,,,,CVCL_4613,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",,,
ACH-000081,GDM1,GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906870.0,blood,AML,,,Female,ATCC,,,,,,CVCL_1230,haematopoietic_and_lymphoid_tissue,,Leukemia,Acute Myelogenous Leukemia (AML),66.0,SIDM01057,
ACH-000082,G292CLONEA141B1,G292CLONEA141B1_BONE,"G292CLONEA141B1, G-292 clone A141B1",1290807.0,bone,osteosarcoma,,,Female,ATCC,2.0,-4.365853783,Adherent,M10,24.8,CVCL_2909,bone,Primary,Bone Cancer,Osteosarcoma,9.0,SIDM00858,
ACH-000083,HS281T,HS281T_FIBROBLAST,,,fibroblast,fibroblast_breast,,,Female,ATCC,,,,,,CVCL_0715,fibroblast,,Fibroblast,Breast,37.0,,
ACH-000084,MUTZ3,MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MUTZ3,,blood,AML,,,Male,DSMZ,,,,,,CVCL_1433,haematopoietic_and_lymphoid_tissue,,Leukemia,Acute Myelogenous Leukemia (AML),29.0,,
ACH-000085,T3M4,T3M4_PANCREAS,,,pancreas,exocrine,exocrine_adenocarcinoma,,Male,RIKEN,1.0,-2.862032623,Adherent,Ham F-10: 90.0%;10%FBS,7.1,CVCL_4056,lymph_node,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",64.0,,
ACH-000086,ACCMESO1,ACCMESO1_PLEURA,,,lung,mesothelioma,,,Female,RIKEN,2.0,-4.054069395,Adherent,R10+Glutamax-1;sodium pyruvate,21.4,CVCL_5113,pleura,,Lung Cancer,Mesothelioma,61.0,,
ACH-000087,SKES1,SKES1_BONE,,684072.0,bone,Ewing_sarcoma,,EWS_FLI,Male,ATCC,2.0,-3.08213226,Semi-Adherent,McCoy's 5A; 15% FBS,42,CVCL_0627,bone,Primary,Bone Cancer,Ewings Sarcoma,18.0,SIDM01111,
ACH-000088,HS172T,HS172T_FIBROBLAST,,,fibroblast,fibroblast_urinary_tract,,,Male,ATCC,,,,,,CVCL_0660,fibroblast,,Fibroblast,Bladder,50.0,,
ACH-000089,NCIH684,NCIH684_LARGE_INTESTINE,,,colorectal,colorectal_adenocarcinoma,,,Male,KCLB,,,,,,CVCL_9980,liver,Metastasis,Colon/Colorectal Cancer,Adenocarcinoma,55.0,,
ACH-000090,PC3,PC3_PROSTATE,,905934.0,prostate,prostate_adenocarcinoma,,,Male,ATCC,,,,,,CVCL_0035,bone,Metastasis,Prostate Cancer,Adenocarcinoma,62.0,SIDM00088,
ACH-000091,OV56,OV56_OVARY,,1480362.0,ovary,ovary_adenocarcinoma,serous,,Female,ECACC,,,,,,CVCL_2673,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, serous",46.0,SIDM00475,
ACH-000092,NCIH2452,NCIH2452_PLEURA,,908462.0,lung,mesothelioma,,,Male,ATCC,2.0,-4.021094543999999,Adherent,RPMI; 10% FBS,14.3,CVCL_1553,pleura,Metastasis,Lung Cancer,Mesothelioma,,SIDM00722,
ACH-000093,PANC0504,PANC0504_PANCREAS,,,pancreas,exocrine,exocrine_adenocarcinoma,,Female,ATCC,,,,,,CVCL_1637,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",77.0,,
ACH-000094,HPAFII,HPAFII_PANCREAS,,724869.0,pancreas,exocrine,exocrine_adenocarcinoma,,Male,ATCC,,,,,,CVCL_0313,ascites,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",44.0,SIDM00669,
ACH-000095,D341,D341MED_CENTRAL_NERVOUS_SYSTEM,D341MED,,central_nervous_system,medulloblastoma,med_group_3,MYC_amp,Male,ATCC,3.0,-2.8061747710000002,Semi-Adherent,DMEM:F12 (1:1); 15% FBS,4.4,CVCL_0018,central_nervous_system,,Brain Cancer,Medulloblastoma,3.5,,
ACH-000096,G401,G401_SOFT_TISSUE,,907299.0,kidney,malignant_rhabdoid_tumor,,,Male,ATCC,2.0,-2.4053085469999997,Adherent,McCoy's 5A;10% FBS;,62,CVCL_0270,kidney,Primary,Rhabdoid,Malignant Rhabdoid Tumor,0.25,SIDM00856,
